# packages in environment at /mnt/home1/ahringer/qf222/anaconda3/envs/qf:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
alsa-lib                  1.2.3.2              h166bdaf_0    conda-forge
attr                      2.5.1                h166bdaf_0    conda-forge
bamtools                  2.5.2                hd03093a_0    bioconda
bedtools                  2.30.0               h468198e_3    bioconda
bowtie                    1.3.1            py39hd400a0c_1    bioconda
bowtie2                   2.4.5            py39hd2f7db1_2    bioconda
brotli                    1.0.9                h166bdaf_7    conda-forge
brotli-bin                1.0.9                h166bdaf_7    conda-forge
bwa                       0.7.17               h7132678_9    bioconda
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.18.1               h7f98852_0    conda-forge
ca-certificates           2022.6.15            ha878542_0    conda-forge
cairo                     1.16.0            ha61ee94_1011    conda-forge
certifi                   2022.6.15        py39hf3d152e_0    conda-forge
curl                      7.83.1               h7bff187_0    conda-forge
cutadapt                  4.0              py39hbf8eff0_0    bioconda
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
dbus                      1.13.6               h5008d03_3    conda-forge
dnaio                     0.9.0            py39hbf8eff0_0    bioconda
docopt                    0.6.2                      py_1    conda-forge
expat                     2.4.8                h27087fc_0    conda-forge
fastqc                    0.11.9               hdfd78af_1    bioconda
fftw                      3.3.10          nompi_h77c792f_102    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.14.0               h8e229c2_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.33.3           py39hb9d737c_0    conda-forge
freetype                  2.10.4               h0708190_1    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
gettext                   0.19.8.1          h73d1719_1008    conda-forge
giflib                    5.2.1                h36c2ea0_2    conda-forge
gnu-parallel              20161122                      1    au-eoed
graphite2                 1.3.13            h58526e2_1001    conda-forge
gst-plugins-base          1.20.2               hcf0ee16_0    conda-forge
gstreamer                 1.20.2               hd4edc92_1    conda-forge
harfbuzz                  4.3.0                hf9f4e7c_0    conda-forge
hicup                     0.8.3                hdfd78af_0    bioconda
htslib                    1.15.1               h9753748_0    bioconda
icu                       70.1                 h27087fc_0    conda-forge
idr                       2.0.4.2          py39h5371cbf_6    bioconda
igv                       2.13.1               hdfd78af_0    bioconda
igvtools                  2.5.3                hdfd78af_1    bioconda
isa-l                     2.30.0               ha770c72_4    conda-forge
jack                      1.9.18            hfd4fe87_1001    conda-forge
jpeg                      9e                   h166bdaf_1    conda-forge
keyutils                  1.6.1                h166bdaf_0    conda-forge
kiwisolver                1.4.2            py39hf939315_1    conda-forge
krb5                      1.19.3               h3790be6_0    conda-forge
lcms2                     2.12                 hddcbb42_0    conda-forge
ld_impl_linux-64          2.36.1               hea4e1c9_2    conda-forge
ldc                       1.28.1               hcf88599_0    conda-forge
lerc                      3.0                  h9c3ff4c_0    conda-forge
libblas                   3.9.0           14_linux64_openblas    conda-forge
libbrotlicommon           1.0.9                h166bdaf_7    conda-forge
